Rank,Title,Score,Episodes
172,Gintama°: Aizome Kaori-hen,8.40,OVA
173,Major S5,8.40,TV
174,Mo Dao Zu Shi: Xian Yun Pian,8.40,ONA
175,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.40,Movie
176,Kaze ga Tsuyoku Fuiteiru,8.39,TV
177,Kimetsu no Yaiba: Mugen Ressha-hen,8.39,TV
178,Natsume Yuujinchou Roku Specials,8.39,Special
179,Tensei shitara Slime Datta Ken 2nd Season,8.39,TV
180,Houseki no Kuni,8.39,TV
181,Kamisama Hajimemashita: Kako-hen,8.39,OVA
182,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.39,Movie
183,3-gatsu no Lion,8.38,TV
184,Barakamon,8.38,TV
185,Chihayafuru 2,8.38,TV
186,Cowboy Bebop: Tengoku no Tobira,8.38,Movie
187,Cross Game,8.38,TV
188,Non Non Biyori Nonstop,8.38,TV
189,Tian Guan Ci Fu Special,8.38,ONA
190,Tian Guan Ci Fu,8.37,ONA
191,Baccano!,8.37,TV
192,Kizumonogatari I: Tekketsu-hen,8.37,Movie
193,Made in Abyss Movie 2: Hourou Suru Tasogare,8.37,Movie
194,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,Movie
195,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,TV
196,Kaze no Tani no Nausicaä,8.36,Movie
197,Mahou Shoujo Madoka★Magica,8.36,TV
198,Usagi Drop,8.36,TV
199,Wu Liuqi: Xuanwu Guo Pian,8.36,ONA
200,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.36,TV
201,Boku no Hero Academia 6th Season,8.36,TV
202,Fumetsu no Anata e,8.36,TV
203,Haikyuu!! To the Top,8.36,TV
204,Bakuman. 2nd Season,8.35,TV
205,Gintama: Shiroyasha Koutan,8.35,Special
206,Hellsing Ultimate,8.35,OVA
207,K-On! Movie,8.35,Movie
208,Neon Genesis Evangelion,8.35,TV
209,Kiseijuu: Sei no Kakuritsu,8.34,TV
210,Psycho-Pass,8.34,TV
211,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.34,TV
212,Blue Lock,8.34,TV
213,Bakemonogatari,8.33,TV
214,Given,8.33,TV
