Rank,Title,Score,Episodes
4359,Vexille: 2077 Nihon Sakoku,6.91,Movie
4360,Yumekui Merry,6.91,TV
4361,Yuusha Shirei Dagwon,6.91,TV
4362,Zero no Tsukaima: Princesses no Rondo Picture Drama,6.91,Special
4363,3x3 Eyes: Seima Densetsu,6.91,OVA
4364,Battle Athletess Daiundoukai (TV),6.91,TV
4365,Blade Runner: Black Out 2022,6.91,ONA
4366,Brotherhood: Final Fantasy XV,6.91,ONA
4367,Buddy Complex: Daremo Shiranai Ashita e,6.91,ONA
4368,Bug tte Honey,6.91,TV
4369,Cang Lan Jue Part 2,6.91,ONA
4370,Cat Shit One,6.91,ONA
4371,Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,6.91,ONA
4372,Detective Conan: Haibara Ai Monogatari - Kurogane no Mystery Train,6.91,Movie
4373,Doraemon Movie 02: Nobita no Uchuu Kaitakushi,6.91,Movie
4374,Ai Yori Aoshi: Enishi - Miyuki,6.90,Special
4375,Animation Seisaku Shinkou Kuromi-chan 2,6.90,OVA
4376,Asura Cryin',6.90,TV
4377,Bakusou Kyoudai Let's & Go,6.90,TV
4378,Battle Programmer Shirase,6.90,TV
4379,Bomberman Jetters,6.90,TV
4380,Fei Ren Zai,6.90,ONA
4381,Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,6.90,OVA
4382,Gravitation: Lyrics of Love,6.90,OVA
4383,Gridman Universe,6.90,Movie
4384,Grisaia no Kajitsu Specials,6.90,Special
4385,Grisaia: Phantom Trigger The Animation,6.90,Movie
4386,Grisaia: Phantom Trigger The Animation - Stargazer,6.90,Movie
4387,Hellsing: Psalm of the Darkness,6.90,Special
4388,Hoshi wo Katta Hi,6.90,Movie
4389,Huyao Xiao Hongniang: Wei Sheng,6.90,ONA
4390,Kimi ga Nozomu Eien: Next Season,6.90,OVA
4391,Koisuru Tenshi Angelique: Kagayaki no Ashita,6.90,TV
4392,Koroshi Ai,6.90,TV
4393,Kurogane no Linebarrels,6.90,TV
4394,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",6.90,TV
4395,Nagagutsu wo Haita Neko,6.90,Movie
4396,Nerawareta Gakuen,6.90,Movie
4397,Persona 5 the Animation TV Specials,6.90,Special
4398,Pokemon Movie 04: Celebi Toki wo Koeta Deai,6.90,Movie
4399,Prince of Stride: Alternative,6.90,TV
4400,Rinne no Lagrange,6.90,TV
4401,Rosario to Vampire Capu2,6.90,TV
4402,Samurai Deeper Kyou,6.90,TV
4403,Seihou Bukyou Outlaw Star Pilot,6.90,Special
4404,Shinkon Gattai Godannar!! 2nd Season,6.90,TV
4405,Strike the Blood Final,6.90,OVA
4406,Tsukiuta. The Animation,6.90,TV
4407,Uchuu Taitei God Sigma,6.90,TV
4408,Wakaba*Girl: Onsen Tsukaritai,6.90,Special
4409,Wo Jia Da Shixiong Shi Ge Fanpai,6.90,ONA
4410,Ze Tian Ji 2nd Season,6.90,ONA
4411,Sword Art Online: Alicization - War of Underworld Recap,6.89,Special
4412,Toaru Majutsu no Index-tan II,6.89,Special
4413,Wonder 3,6.89,TV
4414,Yu☆Gi☆Oh! (Movie),6.89,Movie
4415,Yume ga Sameru made,6.89,ONA
4416,Ze Tian Ji 5th Season,6.89,ONA
4417,Zi Chuan,6.89,ONA
4418,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",6.89,Special
4419,Animation Seisaku Shinkou Kuromi-chan,6.89,OVA
4420,Aoi Blink,6.89,TV
4421,Blassreiter,6.89,TV
4422,Buki yo Saraba,6.89,Movie
4423,Busou Shoujo Machiavellianism,6.89,TV
4424,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,6.89,Movie
4425,Croket!,6.89,TV
4426,Days (TV) OVA,6.89,OVA
4427,Dennou Boukenki Webdiver,6.89,TV
4428,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,6.89,OVA
4429,Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,6.89,Special
4430,Furusato Saisei: Nippon no Mukashibanashi,6.89,TV
4431,Harmony,6.89,Movie
4432,He Wei Dao x Hui Yeda Xiaojie Xiangyao Wo Gaobai,6.89,ONA
4433,Hinata no Aoshigure,6.89,Movie
4434,Hoshi no Kirby,6.89,TV
4435,Ibara no Ou,6.89,Movie
4436,Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day,6.89,OVA
4437,Kabukichou Sherlock,6.89,TV
4438,Kami nomi zo Shiru Sekai: Flag 0,6.89,OVA
4439,Kawaisugi Crisis,6.89,TV
4440,Koe de Oshigoto! The Animation,6.89,OVA
4441,Konchuu Monogatari Minashigo Hutch,6.89,TV
4442,Kyoukai no Kanata: Mini Gekijou,6.89,Special
4443,Kyoukai no Rinne,6.89,TV
4444,Ling Jian Zun 2nd Season,6.89,ONA
4445,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,6.89,Movie
4446,Magic Tree House,6.89,Movie
4447,Mahoromatic End Year Special,6.89,Special
4448,Maple Town Monogatari,6.89,TV
4449,Massara,6.89,ONA
4450,Meitantei Conan: Zero no Tea Time,6.89,TV
4451,Mudazumo Naki Kaikaku: The Legend of Koizumi,6.89,OVA
4452,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,6.89,TV
4453,New Dominion Tank Police,6.89,OVA
4454,Ninin ga Shinobuden,6.89,TV
4455,Occultic;Nine,6.89,TV
4456,ReLIFE: Kanketsu-hen Specials,6.89,Special
4457,Servamp,6.89,TV
4458,Shaman King (2021),6.89,TV
4459,Shinigami no Ballad.,6.89,TV
4460,Key the Metal Idol,6.88,OVA
4461,Kimi to Boku,6.88,ONA
4462,Koisuru Asteroid,6.88,TV
4463,Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi,6.88,Special
4464,Koukou Tekken-den Tough,6.88,OVA
4465,Koutetsushin Jeeg,6.88,TV
4466,Lupin III: Hemingway Paper no Nazo,6.88,Special
4467,Mai-HiME Specials,6.88,Special
4468,Mirai Shounen Conan (Movie),6.88,Movie
4469,Miyori no Mori,6.88,Special
4470,Monkey Turn V,6.88,TV
4471,Moshidora,6.88,TV
4472,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,6.88,Movie
4473,Noblesse,6.88,TV
4474,Ore wa Teppei,6.88,TV
4475,Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi,6.88,Movie
4476,Pokemon Sun & Moon,6.88,TV
4477,Promare: Galo-hen,6.88,ONA
4478,Radiant,6.88,TV
4479,Samurai Flamenco,6.88,TV
4480,Sekai Meisaku Douwa: Hakuchou no Mizuumi,6.88,Movie
4481,Starmyu,6.88,TV
4482,Sumomomo Momomo: Chijou Saikyou no Yome Specials,6.88,Special
4483,Tenjou Tenge,6.88,TV
4484,Tezuka Osamu no Buddha: Owarinaki Tabi,6.88,Movie
4485,Uchi no Maid ga Uzasugiru!,6.88,TV
4486,Vampire Knight,6.88,TV
4487,Vanitas no Karte: Le Chemin Parcouru Depuis la Rencontre,6.88,Special
4488,Wakaba*Girl,6.88,TV
4489,Wan Jie Xian Zong 5th Season,6.88,ONA
4490,Yesterday wo Utatte,6.88,TV
4491,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.88,TV
4492,Amatsuki,6.88,TV
4493,Anima Yell!,6.88,TV
4494,Arete Hime,6.88,Movie
4495,Arslan Senki,6.88,OVA
4496,Blood: The Last Vampire,6.88,Movie
4497,Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri,6.88,Movie
4498,Friends: Mononoke Shima no Naki,6.88,Movie
4499,Futsuu no Joshikousei ga [Locodol] Yattemita.,6.88,TV
4500,"Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.",6.88,Special
4501,Guilty Crown: Lost Christmas - An Episode of Port Town,6.88,OVA
4502,Hashire Melos (Movie),6.88,Movie
4503,Heat Guy J: Toriko - Angel,6.88,Special
4504,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap,6.88,Special
4505,Iblard Jikan,6.88,OVA
4506,.hack//Roots,6.87,TV
4507,86 Special Edition: Senya ni Akaku Hinageshi no Saku,6.87,Special
4508,Cello Hiki no Gauche (1982),6.87,Movie
4509,Chikyuu Bouei Kazoku,6.87,TV
4510,Chuubyou Gekihatsu Boy: Otoko ni Umareta Shukumei Dakara,6.87,Special
4511,Cyborg 009 (TV),6.87,TV
4512,D.C.II: Da Capo II,6.87,TV
4513,Denpa Kyoushi,6.87,TV
4514,Dog Days'',6.87,TV
4515,Dominion,6.87,OVA
4516,Doraemon: Doraemon Comes Back (Movie),6.87,Movie
4517,Fantastic Children: Befort no Kodomo-tachi no Sonogo,6.87,Special
4518,Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,6.87,OVA
4519,Free! Take Your Marks: Character Butai Aisatsu,6.87,Movie
4520,Generator Gawl,6.87,TV
4521,Gensoumaden Saiyuuki: Kibou no Zaika,6.87,OVA
4522,Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman,6.87,Movie
4523,Ikebukuro West Gate Park,6.87,TV
4524,Inazuma Eleven: Orion no Kokuin,6.87,TV
4525,Kamisama no Inai Nichiyoubi: Kioku,6.87,Special
4526,Katte ni Kaizou,6.87,OVA
4527,Keroro,6.87,TV
4528,Koukaku Kidoutai: SAC_2045 Season 2,6.87,ONA
4529,Kurozuka,6.87,TV
4530,Ling Jian Zun,6.87,ONA
4531,Lupin III: Prison of the Past,6.87,Special
4532,Mashin Eiyuuden Wataru 2,6.87,TV
4533,Mazinger Z Movie: Infinity,6.87,Movie
4534,Metal Fight Beyblade,6.87,TV
4535,Nakanohito Genome [Jikkyouchuu],6.87,TV
4536,Oishinbo,6.87,TV
4537,One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,6.87,Movie
4538,Overlord Movie: Manner Movie,6.87,Movie
4539,Pokemon Housoukyoku,6.87,TV
4540,Renkin San-kyuu Magical? Pokaan Specials,6.87,Special
4541,Senki Zesshou Symphogear XV: Senki Zesshou Shinai Symphogear,6.87,Special
4542,Shika no Ou: Yuna to Yakusoku no Tabi,6.87,Movie
4543,Shin Ace wo Nerae!,6.87,TV
4544,Shin Tenchi Muyou!,6.87,TV
4545,Sonic★the★Hedgehog,6.87,OVA
4546,Sora no Method: Aru Shoujo no Kyuujitsu★,6.87,Special
4547,Soukou Kihei Votoms: Kakuyaku taru Itan,6.87,OVA
4548,Spriggan (ONA),6.87,ONA
4549,Switch,6.87,OVA
4550,Usavich,6.87,TV
4551,Uta∽Kata: Shotou no Futanatsu,6.87,Special
4552,Vandread: Gekitou-hen,6.87,OVA
4553,Xi You Ji,6.87,TV
4554,Yu☆Gi☆Oh! Zexal Second,6.87,TV
4555,Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou,6.86,TV
4556,Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,6.86,Special
4557,Urayasu Tekkin Kazoku,6.86,TV
4558,Vanitas no Karte: En Route Pour le Gévaudan,6.86,Special
4559,Yi Ren Zhi Xia 4th season,6.86,ONA
4560,Yomigaeru Sora: Rescue Wings - Saigo no Shigoto,6.86,Special
4561,Zone of the Enders: 2167 Idolo,6.86,OVA
4562,A-Channel: Nabe wo Tabeyou,6.86,Special
4563,Andersen Douwa: Ningyohime,6.86,Movie
4564,B-gata H-kei,6.86,TV
4565,Belle to Kaijuu Ouji,6.86,Movie
4566,Binbou Shimai Monogatari,6.86,TV
4567,Binghuo Mochu 2,6.86,ONA
4568,Chimimo,6.86,TV
4569,Daitoshokan no Hitsujikai,6.86,TV
4570,Dog Days,6.86,TV
4571,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,6.86,Movie
4572,Girls & Panzer: Kore ga Hontou no Anzio-sen desu! - Fushou Akiyama Yukari no Sensha Kouza,6.86,Special
4573,Gokukoku no Brynhildr,6.86,TV
4574,Hajimete no Eigo: Nippon Mukashibanashi,6.86,OVA
4575,Hakaba Kitarou,6.86,TV
4576,Haou Taikei Ryuu Knight,6.86,TV
4577,Happiness Charge Precure!,6.86,TV
4578,Hells,6.86,Movie
4579,Hotori: Tada Saiwai wo Koinegau,6.86,Special
4580,"Inari, Konkon, Koi Iroha. Inari, Konkon, Semishigure.",6.86,OVA
4581,IS: Infinite Stratos 2 - Hitonatsu no Omoide,6.86,OVA
4582,IS: Infinite Stratos 2 - World Purge-hen,6.86,OVA
4583,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,6.86,TV
4584,It's a Rumic World: 50th Anniversary Weekly★Shonen Sunday,6.86,Special
4585,Jewelpet Kira☆Deco!,6.86,TV
4586,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,6.86,TV
4587,King of Prism: Pride the Hero,6.86,Movie
4588,Koitabi: True Tours Nanto,6.86,Special
4589,Kowarekake no Orgel Special,6.86,Special
4590,Kyou no 5 no 2 Kagai Jugyou: Mizukake,6.86,Special
4591,Love Live! Sunshine!! Recap,6.86,Special
4592,Musaigen no Phantom World,6.86,TV
4593,Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai,6.86,Special
4594,NieA Under 7,6.86,TV
4595,No Guns Life,6.86,TV
4596,Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,6.86,OVA
4597,Rayearth,6.86,OVA
4598,Reikenzan: Eichi e no Shikaku,6.86,TV
4599,Ryuuseiki Gakusaver,6.86,OVA
4600,Saint Seiya: Kamigami no Atsuki Tatakai,6.86,Movie
4601,Sakura Taisen,6.86,TV
4602,Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear,6.86,Special
4603,Shakugan no Shana-tan S,6.86,Special
4604,Karneval Specials,6.85,Special
4605,Kill Me Baby,6.85,TV
4606,Kodomo no Jikan Recap,6.85,OVA
4607,Love Live! School Idol Project OVA,6.85,OVA
4608,Macross Flash Back 2012,6.85,OVA
4609,Mahoutsukai Sally,6.85,TV
4610,Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,6.85,Special
4611,Nekomonogatari: Kuro Recap,6.85,Special
4612,Pandane to Tamago-hime,6.85,Movie
4613,Pikmin Short Movies,6.85,Movie
4614,Pokemon Movie 13: Genei no Hasha Zoroark,6.85,Movie
4615,Project A-Ko,6.85,Movie
4616,Quanzhi Fashi VI,6.85,ONA
4617,s.CRY.ed Alteration I: Tao,6.85,Movie
4618,Sengoku Basara: Judge End,6.85,TV
4619,Shisha no Teikoku,6.85,Movie
4620,Stella no Mahou,6.85,TV
4621,Sumomomo Momomo: Chijou Saikyou no Yome,6.85,TV
4622,Sword Art Online: Alicization - War of Underworld Reflection,6.85,Special
4623,Tenpou Ibun: Ayakashi Ayashi,6.85,TV
4624,Toaru Kagaku no Railgun: Motto Marutto Railgun,6.85,Special
4625,Tropical-Rouge! Precure Movie: Yuki no Princess to Kiseki no Yubiwa!,6.85,Movie
4626,UFO Princess Valkyrie 4: Toki to Yume to Ginga no Utage,6.85,OVA
4627,Yama no Susume Second Season Specials,6.85,Special
4628,Zettai Shounen,6.85,TV
4629,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",6.85,OVA
4630,3D Kanojo: Real Girl,6.85,TV
4631,Ace wo Nerae! Final Stage,6.85,OVA
4632,Aru Nihon no Ekaki Shounen,6.85,Movie
4633,Chibi☆Devi!,6.85,TV
4634,Chikyuugai Shounen Shoujo,6.85,ONA
4635,Dinghai Fusheng Lu,6.85,ONA
4636,Dual! Parallel Runrun Monogatari Special,6.85,Special
4637,Evangelion: 3.0 (-46h),6.85,Special
4638,Futakoi Alternative,6.85,TV
4639,Ganbare! Kickers,6.85,TV
4640,gdgd Fairies 2,6.85,TV
4641,Gegege no Kitarou (2007),6.85,TV
4642,Genji Monogatari Sennenki,6.85,TV
4643,Hanebado!,6.85,TV
4644,Kanamemo,6.85,TV
4645,"Kanojo, Okarishimasu 2nd Season",6.85,TV
4646,Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,6.84,Movie
4647,Chou Denji Robo Combattler V,6.84,TV
4648,Clamp Gakuen Tanteidan,6.84,TV
4649,Devil Survivor 2 The Animation,6.84,TV
4650,Devils Line,6.84,TV
4651,Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,6.84,Movie
4652,Dragon Half,6.84,OVA
4653,Dream Festival! R,6.84,ONA
4654,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,6.84,Special
4655,Engage Kiss,6.84,TV
4656,Fei Ren Zai 1st Season Part 2,6.84,ONA
4657,Glass no Kamen: Sen no Kamen wo Motsu Shoujo,6.84,OVA
4658,Hime Chen! Otogi Chikku Idol Lilpri (2011),6.84,TV
4659,Hirune Hime: Shiranai Watashi no Monogatari,6.84,Movie
4660,I''s Pure,6.84,OVA
4661,Ichigo 100% OVA,6.84,OVA
4662,Iron Kid,6.84,TV
4663,Jitsu wa Watashi wa,6.84,TV
4664,Kawa no Hikari,6.84,Special
4665,Kaze to Ki no Uta Sanctus: Sei Naru Kana,6.84,OVA
4666,Kiddy GiRL-AND,6.84,TV
4667,Kouya no Kotobuki Hikoutai,6.84,TV
4668,Maison Ikkoku: Bangai-hen - Ikkokujima Nanpa Shimatsuki,6.84,OVA
4669,Majokko Megu-chan,6.84,TV
4670,Mushikaburi-hime,6.84,TV
4671,Omamori Himari,6.84,TV
4672,Overlord Movie: Ple Ple Pleiades,6.84,Movie
4673,Ryuuou no Oshigoto!,6.84,TV
4674,Saihate no Paladin,6.84,TV
4675,Shichinin no Nana,6.84,TV
4676,Shin Angyo Onshi,6.84,Movie
4677,Shirobako Specials,6.84,Special
4678,Soukou Kihei Votoms: Koei Futatabi,6.84,OVA
4679,Soul Eater: Late Night Show,6.84,Special
4680,Uchuu Senkan Yamato: Kanketsu-hen,6.84,Movie
4681,Wakakusa no Charlotte,6.84,TV
4682,Wo Shi Jiang Xiaobai (2018),6.84,ONA
4683,Ze Tian Ji 3rd Season,6.84,ONA
4684,Zetman,6.84,TV
4685,Tennis no Ouji-sama: Mini Theater,6.83,Special
4686,To Heart 2 OVA,6.83,OVA
4687,Toaru Kagaku no Railgun T: Motto Marutto Railgun,6.83,Special
4688,Touken Ranbu: Hanamaru,6.83,TV
4689,Yama no Susume,6.83,TV
4690,Yi Ren Zhi Xia 3: Rushi Pian,6.83,ONA
4691,Zombie-Loan,6.83,TV
4692,Agatha Christie no Meitantei Poirot to Marple,6.83,TV
4693,Aishen Qiaokeli-ing...,6.83,ONA
4694,Akkun to Kanojo,6.83,TV
4695,Bai Lian Cheng Shen,6.83,ONA
4696,Binan Koukou Chikyuu Bouei-bu LOVE!,6.83,TV
4697,Captain Tsubasa: Europe Daikessen,6.83,Movie
4698,Cardfight!! Vanguard: will+Dress,6.83,TV
4699,Cobra The Animation: The Psycho-Gun,6.83,OVA
4700,Cobra The Animation: Time Drive,6.83,OVA
4701,Dagashi Kashi 2,6.83,TV
4702,Daikuu Maryuu Gaiking,6.83,TV
4703,Digimon Frontier: Ornismon Fukkatsu!!,6.83,Movie
4704,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,6.83,Movie
4705,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,6.83,Movie
4706,Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,6.83,Special
4707,Free! Movie 1: Timeless Medley - Kizuna - Character Butai Aisatsu,6.83,Movie
4708,Fullmetal Alchemist: The Sacred Star of Milos Specials,6.83,ONA
4709,Ged Senki,6.83,Movie
4710,Hetalia World★Stars,6.83,ONA
4711,Houkago no Ouji-sama,6.83,Special
4712,Hyakujuu-Ou GoLion,6.83,TV
4713,IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,6.83,OVA
4714,Jarinko Chie (TV),6.83,TV
4715,Jintian Kaishi Zuo Mingxing,6.83,ONA
4716,Kaibutsu-kun,6.83,TV
4717,Kantai Collection: KanColle,6.83,TV
4718,Kimi no Iru Machi,6.83,TV
4719,Kiss x Sis,6.83,OVA
4720,Koi to Senkyo to Chocolate: Koi Imouto!,6.83,Special
4721,Ma La Nu Pei,6.83,ONA
4722,Majimoji Rurumo,6.83,TV
4723,Micchiri Neko,6.83,TV
4724,"Mix: Meisei Story 2nd Season - Nidome no Natsu, Sora no Mukou e",6.83,TV
4725,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,6.83,OVA
4726,Overlord: Ple Ple Pleiades 2,6.83,ONA
4727,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,6.83,Movie
4728,Pokemon Crystal: Raikou Ikazuchi no Densetsu,6.83,Special
4729,PopoloCrois,6.83,TV
4730,Precure All Stars GoGo Dream Live!,6.83,Special
4731,Ranma ½: Tendou-ke no Oyobidenai Yatsura!,6.83,Special
4732,Senkou no Night Raid,6.83,TV
4733,Shouwa Monogatari,6.83,TV
4734,Suki tte Ii na yo. Mei and Marshmallow,6.83,Special
4735,Super Lovers,6.83,TV
4736,Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi,6.82,Special
4737,Kiteretsu Daihyakka,6.82,TV
4738,Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,6.82,TV
4739,"Kono Danshi, Sekka ni Nayandemasu.",6.82,OVA
4740,Kurokami: Tora to Tsubasa,6.82,Special
4741,Mahou Shoujo Pretty Sammy (1996),6.82,TV
4742,Mugen no Juunin,6.82,TV
4743,Nakanohito Genome [Jikkyouchuu]: Knots of Memories,6.82,OVA
4744,One Piece 3D: Gekisou! Trap Coaster,6.82,Movie
4745,Onegai☆Twins,6.82,TV
4746,Precure Super Stars! Movie,6.82,Movie
4747,Qin Shi Mingyue: Zhu Zi Bai Jia,6.82,TV
4748,Queen Emeraldas,6.82,OVA
4749,Recorder to Randoseru Re♪,6.82,TV
4750,Senkou no Night Raid Specials,6.82,Special
4751,Sentimental Journey,6.82,TV
4752,Shi Yi Chang An: Mingyue Jishi You,6.82,ONA
4753,Shingetsutan Tsukihime,6.82,TV
4754,Stratos 4 Advance Kanketsu-hen,6.82,OVA
4755,Sumikko Gurashi Movie 1: Tobidasu Ehon to Himitsu no Ko,6.82,Movie
4756,Sword Art Online Movie: Ordinal Scale - Sword Art Offline,6.82,Special
4757,Taimadou Gakuen 35 Shiken Shoutai,6.82,TV
4758,The Kabocha Wine,6.82,TV
4759,To Heart 2 AD,6.82,OVA
4760,Touch: Cross Road - Kaze no Yukue,6.82,Special
4761,Weiß Kreuz OVA,6.82,OVA
4762,Yaku nara Mug Cup mo: Niban Gama,6.82,TV
4763,Yi Ren Zhi Xia,6.82,TV
4764,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,6.82,TV
4765,Zhu Tian Ji,6.82,ONA
4766,Zuoshou Shanglan,6.82,ONA
4767,Anime 80-nichikan Sekai Isshuu,6.82,TV
4768,Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,6.82,Special
4769,Code Geass: Hangyaku no Lelouch - Kiseki no Birthday,6.82,Special
4770,Crusher Joe,6.82,Movie
4771,Doraemon Meets Hattori the Ninja,6.82,Special
4772,Double Decker! Doug & Kirill,6.82,TV
4773,Dragon Ball Movie 3: Makafushigi Daibouken,6.82,Movie
4774,Fate/kaleid liner Prisma☆Illya 2wei! Specials,6.82,Special
4775,Fate/stay night TV Reproduction,6.82,OVA
4776,Feng Yu Zhou,6.82,Movie
4777,Fushigi Yuugi: Eikouden,6.82,OVA
4778,Gakusen Toshi Asterisk,6.82,TV
4779,Galaxy Angel S,6.82,OVA
4780,Gi(a)rlish Number,6.82,TV
4781,Hakaima Sadamitsu,6.82,TV
4782,Hibike! Euphonium: Suisougaku-bu no Nichijou,6.82,Special
4783,Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,6.82,Special
4784,Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e,6.82,Special
4785,Juushin Enbu: Hero Tales,6.82,TV
4786,Kakutou Bijin Wulong: Rebirth,6.82,TV
4787,Armitage III: Dual-Matrix,6.81,Movie
4788,Atom: The Beginning,6.81,TV
4789,Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!,6.81,OVA
4790,Boku no Hero Academia (ONA),6.81,ONA
4791,Bomberman B-Daman Bakugaiden,6.81,TV
4792,Captain Tsubasa: Saikyou no Teki! Holland Youth,6.81,OVA
4793,Eromanga-sensei OVA,6.81,OVA
4794,Grappler Baki,6.81,OVA
4795,Heroman,6.81,TV
4796,Honoo no Mirage: Minagiwa no Hangyakusha,6.81,OVA
4797,Ichigo 100% Special 2,6.81,Special
4798,Jewelpet,6.81,TV
4799,Jewelpet Sunshine,6.81,TV
4800,Kannazuki no Miko,6.81,TV
4801,Karakuri Kiden: Hiwou Senki,6.81,TV
4802,Kingdom Hearts χ Back Cover,6.81,OVA
4803,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,6.81,TV
4804,Macross Dynamite 7,6.81,OVA
4805,Mirai Robo Daltanias,6.81,TV
4806,Nijiyon Animation,6.81,TV
4807,Ookami Shoujo to Kuro Ouji Recap,6.81,Special
4808,Overlord: Ple Ple Pleiades 3,6.81,ONA
4809,Pokemon: Pikachu no Natsuyasumi,6.81,Movie
4810,Rilu Rilu Fairilu: Mahou no Kagami,6.81,TV
4811,Sakamoto desu ga? Sakamoto deshita?,6.81,Special
4812,Shinmai Maou no Testament Burst,6.81,TV
4813,Strait Jacket,6.81,OVA
4814,Taiyou no Mokushiroku: A Spirit of the Sun,6.81,Special
4815,Tegamibachi: Omakebachi,6.81,Special
4816,Toaru Majutsu no Index III,6.81,TV
4817,Versailles no Bara: Seimei Aru Kagiri Aishite,6.81,Movie
4818,Wata no Kuni Hoshi,6.81,Movie
4819,Xing Wushen Jue,6.81,ONA
4820,Yaoguai Mingdan,6.81,ONA
4821,Yoru wa Neko to Issho Season 2,6.81,ONA
4822,Youjo Senki Movie: Manner Eizou,6.81,Movie
4823,Zhen Hun Jie: Bei Luo Shi Men Pian Part 2,6.81,ONA
4824,Tetsujin 28-gou (1980),6.80,TV
4825,Toaru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta,6.80,OVA
4826,Tsubasa to Hotaru,6.80,Special
4827,Tytania,6.80,TV
4828,Wangu Xian Qiong,6.80,ONA
4829,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,6.80,TV
4830,30th Gundam Perfect Mission,6.80,OVA
4831,ACCA: 13-ku Kansatsu-ka Specials,6.80,Special
4832,Beatless Final Stage,6.80,TV
4833,Black★Rock Shooter (TV),6.80,TV
4834,Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,6.80,Movie
4835,Chou Robot Seimeitai Transformers Micron Densetsu,6.80,TV
4836,Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi,6.80,Movie
4837,Cue!,6.79,TV
4838,Di Gi Charat,6.80,TV
4839,Etotama,6.80,TV
4840,Fei Ren Zai 1st Season Part 3,6.80,ONA
4841,Freezing,6.80,TV
4842,Hana no Mahoutsukai Mary Bell,6.80,TV
4843,Hidan no Aria,6.80,TV
4844,Hypnosis Mic: Division Rap Battle - Rhyme Anima,6.80,TV
4845,Isshuukan Friends. Specials,6.80,Special
